ID, Locus_2_Main, Locus_2_Sub, Locus_3_Main, Locus_3_Sub
00,0,6,0,0
01,0,92,0,1
02,96,96,0,1
03,0,11,0,6
04,0,55,0,4
05,96,96,0,5
06,0,52,0,8
07,0,63,0,14
08,96,95,0,8
09,0,10,0,4
10,0,43,0,6
11,96,96,0,0
12,0,11,0,9
13,0,42,0,3
14,96,95,0,8
15,0,15,0,5
16,0,60,0,13
17,96,96,0,8
18,0,0,0,1
19,0,61,0,0
20,96,96,0,0
21,0,2,0,1
22,1,23,0,4
23,96,93,0,2
24,0,13,0,4
25,0,31,0,1
26,96,96,0,3
27,0,2,0,0
28,1,32,0,2
29,96,96,0,0
30,0,2,0,2
31,0,28,0,2
32,96,96,0,0
34,1,22,0,0
33,0,8,0,0
35,96,93,0,5
37,36,52,0,1
36,0,9,0,1
38,96,96,0,2
40,24,30,0,3
39,0,5,0,4
41,94,94,0,3
44,95,95,0,1
43,19,30,0,5
42,0,13,1,5
45,0,3,0,2
47,96,95,1,0
46,23,33,0,1
48,0,5,0,1
49,35,31,0,1
50,94,78,0,2
51,0,7,0,1
52,19,24,0,4
53,95,95,0,3
